ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
P40531	0.153307203067612	32.9363613754269	2.44866587976666	0.0398493827414096	0.0880112512414218	-4.97247536140499
P30902	0.153186443961083	31.2729927262726	2.34567362418675	0.0468166386686033	0.0999477830976858	-5.1335349163652
Q05892	0.152350495299046	26.3469601034543	2.09210847422929	0.0695849311342258	0.135427346290054	-5.52377503427341
P40012	0.152201633751474	27.0991187382985	0.993070350399321	0.349592956177299	0.465628697262922	-6.95957515162945
P32259	0.152145651986331	27.6670768394746	1.77861317575537	0.112968285857794	0.196363065933626	-5.98656509960233
Q06440	0.151418891969659	31.6621305476568	1.79887077883798	0.109521431198294	0.19143344415809	-5.95754301848388
P40533	0.150616807365758	28.9633185635524	1.63545813853809	0.140368793143817	0.229721043192023	-6.18735067552683
P46951	0.150418731449811	27.2581148392521	1.14867981714848	0.283682717019683	0.394030139612843	-6.79627039223468
P53600	0.1502616942686	30.2458495471028	1.77286875518985	0.113964106372305	0.197655511549974	-5.99476902735588
P53866	0.150141681151776	25.5570007809676	0.788944398236666	0.452758342766565	0.565091456085391	-7.14486299246275
P15700	0.149994319395208	30.62203123513	1.60507385388086	0.146922281332457	0.239072912614704	-6.22891152144932
P38829	0.149238849418296	27.2798824060796	1.72259537647288	0.123036770439213	0.210048843761319	-6.06606310395862
P32860	0.149058025312684	30.184210053054	1.18476315091887	0.269917790993294	0.380874541635742	-6.75593606276535
Q03758	0.148960782963506	26.3305397702454	0.622969002579166	0.550547018714445	0.650118446364382	-7.2684096863961
Q05785	0.148944834858913	29.1301406430201	1.56104447837811	0.15691430836116	0.251159061493296	-6.28841996015213
